x,y
677749.2420353355,-1463018.951995198
677012.4864169871,-1463154.0946769326
676270.8029528828,-1463263.0888047146
675535.2231715269,-1463406.8506888782
674797.7799463143,-1463541.517952061
674059.0907091036,-1463670.4463271457
673319.9141996929,-1463796.1912193075
672584.0754283809,-1463940.0939096257
671845.2632495048,-1464068.3705921045
671104.8032566813,-1464186.6924295267
670367.3462072843,-1464322.190619587
669629.0974618885,-1464453.6615136175
668891.9902001541,-1464591.7425813684
668153.8541573529,-1464724.3545035329
667414.4724410165,-1464849.4520048338
666674.6795805144,-1464971.9121507716
665936.4531339275,-1465103.777399251
665199.6523562265,-1465243.5292174625
664461.2366574001,-1465374.4014267777
663720.9963938601,-1465494.3821967733
662978.3929260557,-1465597.0793487076
662243.1143135413,-1465741.6637687187
661506.8033356373,-1465883.2049055554
660769.4935995676,-1466019.4590788467
660033.3675094886,-1466162.1768384466
659293.5627450056,-1466285.0142539411
658555.0791181253,-1466415.6501144317
657817.0050289842,-1466548.765123876
657077.1379085366,-1466671.079217187
656336.560948065,-1466789.4537925539
677294.0211946523,-1462086.4944148422
669909.6098954835,-1463365.342490359
668435.6133934342,-1463638.5619621251
655887.7337267001,-1465847.1737193936
677166.7086191259,-1461096.8062205177
669787.5502578875,-1462397.162240799
668305.6554541684,-1462623.1852833072
667570.8258405556,-1462770.0116845933
655767.5037094126,-1464896.6984790822
666733.013658207,-1461903.2447338447
667475.5803218408,-1461801.3844890026
669686.8661096187,-1461397.155697146
677067.5755019144,-1460078.981716247
655400.476793744,-1462875.9786987214
666469.011336224,-1460935.6237386898
669422.043880982,-1460410.367519774
676801.5393487529,-1459092.2989576948
676780.0009728906,-1458096.9083533837
676040.4051609727,-1458221.065782199
675302.5107756715,-1458354.2205770027
674569.1118205797,-1458510.0841713918
673829.6648448885,-1458633.2316001446
673088.7547249693,-1458749.094540959
672351.489738424,-1458886.246391768
671613.2673502935,-1459018.0306725798
670871.6371372204,-1459128.830487224
670130.3417174859,-1459241.7434799229
669387.87926837,-1459345.274269219
668656.1492268384,-1459505.4225270618
667928.2615706287,-1459684.8134345424
667190.7635652589,-1459819.54630949
666448.1608974178,-1459924.1286473633
665708.7837914322,-1460046.5833170402
664975.8046229468,-1460204.9324048876
664239.3323851884,-1460345.5089503531
663499.0846848517,-1460465.2177726456
662757.2916665396,-1460572.5367182132
662009.2919744035,-1460606.751480138
661265.9240065081,-1460675.9432298222
660543.4915543953,-1460871.4878273674
659830.9287028844,-1461104.2403779954
659100.4244990697,-1461267.3608180746
658359.5372018518,-1461383.0553773714
657618.5415148227,-1461497.852912268
656884.5889012545,-1461650.1799138968
656149.8345100665,-1461797.9646255171
655406.0491417055,-1461890.7400983162
654897.327115319,-1459926.3906236796
663757.5065597751,-1458366.261659078
664499.7767956733,-1458259.3847185024
668923.4532257684,-1457444.6438026207
676308.1683984941,-1456169.863184505
654859.9096817658,-1458921.599239302
662980.9764365541,-1457491.76168071
663719.5031400386,-1457361.6656259708
668887.9380042822,-1456453.6816678771
676271.6323094314,-1455155.6664376939
675955.1487729709,-1454198.0853312497
669308.6657119817,-1455372.4940982647
668569.2653397307,-1455497.6301050468
