x,y
677503.7568502323,-1463064.603733097
676518.1307952638,-1463227.3616061083
675534.7702362803,-1463404.4086314947
674551.6843481377,-1463585.2664347026
673566.4405170567,-1463755.0486128668
672583.576849041,-1463937.5281460634
671598.2360672338,-1464106.6388202386
670612.9580390868,-1464275.8521718937
669629.3846334588,-1464455.3038390412
668645.9870537737,-1464636.1776823069
667660.9752143486,-1464807.9839646171
666674.7849164389,-1464972.5539669297
665690.9359714481,-1465150.799069891
664707.4583204298,-1465331.215088242
663720.5101248986,-1465490.9818854285
662733.4394263504,-1465645.9060920544
661752.3796994049,-1465836.6564632861
660769.7772120708,-1466021.017495285
659786.6812811776,-1466202.6235125726
658801.1556869354,-1466371.6056965631
657816.7985699448,-1466547.488546858
656830.2909989487,-1466710.6143741796
677046.7839108106,-1462123.505617849
670157.9260138783,-1463338.656074049
668189.3599116042,-1463681.4087280612
656380.6378156777,-1465765.046241131
676676.6455806067,-1461195.4672454523
669786.504613406,-1462391.0565888812
667815.5622134972,-1462719.8888259004
656013.6314816688,-1464853.2791148266
667474.643035701,-1461795.880842376
655894.4258566129,-1462801.0514585197
666715.0890218532,-1460892.1229709499
669668.4611985647,-1460368.2599334058
676555.6488781164,-1459136.7562156883
676533.4423444854,-1458138.1245344474
675548.4488796727,-1458309.6660168597
674568.1762783567,-1458505.1223506304
673582.6080653107,-1458671.3494882176
672597.1579943345,-1458840.0260159671
671612.844702397,-1459015.2925297804
670624.7108540523,-1459167.6976635298
669635.5389414857,-1459311.993518193
668656.5757588163,-1459507.3057804576
667682.5255029846,-1459730.3510169054
666695.791720844,-1459889.894492119
665709.6262069378,-1460051.172377494
664730.4869153919,-1460252.831034017
663746.0069566619,-1460426.354612522
662756.5641054834,-1460564.249514852
659828.8543111437,-1461096.5366824367
658853.5455665158,-1461306.4661462095
657865.6235770178,-1461460.127542338
656884.4868545954,-1461649.7144825538
655901.8063409497,-1461828.0628249375
655143.5927697963,-1459884.558072775
664005.0172103329,-1458331.208223458
675814.6534720536,-1456248.0541998895
655351.5072166162,-1458832.4687014315
663227.0392581119,-1457447.6791247018
669134.6078191729,-1456413.2147795008
676025.867821709,-1455200.7636194394
675708.8747009478,-1454241.0657386475
668815.786787864,-1455456.2242377447
662907.8143153718,-1456491.3916524337
655029.7808146733,-1457868.529335807
675522.5295740892,-1453250.4443847535
674541.2640019854,-1453441.4257566242
673556.6586673002,-1453615.177819332
672572.3322533951,-1453790.809240783
671588.0523306857,-1453966.7953235018
670603.2605589908,-1454140.1513378418
669618.3557732175,-1454311.9951393534
668631.7052500279,-1454471.401351895
667647.6179390085,-1454646.9969776617
666661.1510875542,-1454810.1752683306
665676.2941268027,-1454982.765386519
664693.7391945857,-1455168.1964108963
663709.5663348767,-1455344.4653183613
662726.3609165506,-1455526.1778997208
661742.7756291812,-1455705.4914376086
660756.7303531397,-1455870.3274227192
659772.2618659801,-1456045.2124016962
658788.3105569094,-1456223.383488292
657802.8885119606,-1456393.1120060745
656816.6451245464,-1456558.048869463
655832.8448257975,-1456736.7599095968
654849.7411874273,-1456918.1937515512
653863.7581088657,-1457078.1392064972
675691.6848749358,-1452214.5495052957
668801.3279471694,-1453436.3900045794
660923.0550407704,-1454805.4714177507
655016.30867338,-1455853.6511798012
654087.8345868071,-1455012.916736825
659990.7003894052,-1453943.6994220105
675739.865185738,-1451171.4609757203
675150.5228219378,-1450251.965958495
668265.0492952528,-1451503.3248917707
659404.3678407257,-1453057.6105430545
654481.5021054313,-1453922.456305453
653790.0339685997,-1453048.0604401766
658704.0575013986,-1452152.776102689
675432.4999680126,-1449191.8574515353
654067.6286526917,-1451987.3605129186
655049.1548755269,-1451797.1727083537
656034.560508557,-1451628.9495978146
657020.9338856788,-1451464.8985823835
658004.387216572,-1451284.1240989352
658987.3887731377,-1451101.0931561654
659974.1325436671,-1450941.103743295
660956.6977758165,-1450761.0570427733
661926.5933280381,-1450525.7411520823
662913.3360023721,-1450385.0081704087
663903.7483874217,-1450253.0875880248
664888.7704897302,-1450081.0321566416
665869.6400565822,-1449887.0506395677
666854.287561018,-1449716.7799492162
667840.8404065908,-1449556.5124720135
668821.2801797491,-1449360.3649509111
669805.4102216248,-1449184.8202667166
670792.3765143468,-1449024.6812199992
671774.5169489513,-1448837.7678213713
672755.243945788,-1448644.3833068348
673742.0357261085,-1448483.1430889054
674727.6258563158,-1448314.7010234736
675243.096523884,-1447222.7308207196
657524.2342335032,-1450355.4645161205
653583.4508805302,-1451034.2549648704
653710.3553217635,-1449992.831034769
656660.0779987603,-1449473.1955126913
674378.5141179836,-1446342.6618121555
653254.9110245839,-1449071.937190539
655221.1645275633,-1448724.0081134078
674905.6387323929,-1445283.3578082053
674186.0491519287,-1444341.117712443
654495.0689305912,-1447797.4282876644
674404.1587014681,-1443310.0003506108
673428.4414473362,-1443522.9172381738
672442.3137570024,-1443674.7011271375
671450.1495714759,-1443796.86313436
670464.1343428674,-1443962.077400932
669480.2905046414,-1444140.9557421366
668494.1188214823,-1444306.326677837
667506.816532075,-1444464.6966455886
666522.4738663312,-1444638.5493128202
665553.1876091275,-1444877.37436395
664578.2839731995,-1445084.6398308023
663584.8851081736,-1445193.5758806465
662596.8967677591,-1445341.1762300958
661616.512156114,-1445537.7156414872
660632.9595537891,-1445717.2736069427
659646.1585905512,-1445877.366816091
658665.2209078806,-1446069.7201004722
657680.6756946042,-1446242.1214949882
656692.4864861342,-1446394.237770233
655707.9048546021,-1446567.5327030849
654719.131920649,-1446713.6803736063
653738.599647928,-1446899.020008831
653779.4031036831,-1445923.8094936307
653564.90413285,-1444972.4831948853
674229.2753259847,-1441295.7719968252
673544.959511852,-1440425.0049740104
673501.3520292207,-1439408.3525977877
652845.7111535239,-1443046.055038936
652997.2801772631,-1441986.4387863134
653983.1173628056,-1441819.1470565074
654967.3298420357,-1441642.5053712241
655952.745334805,-1441472.7923936741
656935.934486137,-1441290.7617141497
657918.4408479234,-1441105.8026620008
658903.4951621201,-1440935.6709571597
659887.9554109643,-1440761.1520784588
660875.6669919944,-1440605.8998118315
661859.6344642108,-1440431.4376441336
662842.9348975798,-1440252.121617936
663827.4128783478,-1440077.1154846281
664811.2009081171,-1439898.5070847343
665798.5788528133,-1439741.2656594072
666783.3984649051,-1439568.8276516672
667764.6617927868,-1439376.7996062266
668746.6342252772,-1439188.9655956733
669730.6813894053,-1439013.9310618402
670720.0541422728,-1438870.6722165686
671703.7749109516,-1438693.1284961402
672686.5727670842,-1438510.3587088708
652951.6284496733,-1439994.41050154
661524.6012493334,-1466054.2675
660658.339918,-1461131.8421666666
659789.636664,-1456210.81
659229.1339573333,-1453264.0820833333
659078.0827526667,-1452276.431
658948.7902073333,-1451285.3811666667
657980.2085453334,-1446384.2891666666
657152.8204573333,-1441457.1654166668
658083.0377120001,-1440876.3836666667
658996.8688746667,-1445790.26325
659864.1395266667,-1450711.5711666667
660390.1513773333,-1453663.863
660570.7782093333,-1454647.34175
660740.383504,-1455632.6281666667
661571.1630806667,-1460561.69525
659082.9468333333,-1440734.4263333334
659982.0849653333,-1445651.6010833334
660833.052794,-1450576.53575
661699.8408746667,-1455498.9670833333
662591.795962,-1460418.1388333333
660033.6087893334,-1440378.3974166666
661775.5427493334,-1450223.978
662686.896716,-1455139.8075833332
663015.3683006667,-1457112.3353333334
665443.289834,-1465472.9105833333
664574.3162013333,-1460551.6410833334
664253.238456,-1458579.8525833334
663737.9367493333,-1455625.1354166667
662842.5912039999,-1450706.544
661980.5204213333,-1445784.6880833334
661084.7914133334,-1440868.09975
666382.948462,-1465141.244
665547.4704653333,-1460216.8774166666
665359.1925846668,-1459234.79
664639.8522873333,-1455301.4401666666
663814.7472913334,-1450374.7495
662943.8418746667,-1445455.4824166666
