x,y,ridge_diff_velocity_scaled
677993.5217099388,-1462968.7909600234,-5.972815565499106
677748.5902358945,-1463013.2970452737,-4.916459101025615
677504.9623607324,-1463069.1130303727,-5.981065987647611
677259.6417877354,-1463116.7974779247,-3.121301364499006
677012.7864800256,-1463155.9072088958,-7.041879065847111
676765.3310462391,-1463191.3918759404,-7.0300798961579005
676517.4663297352,-1463223.6482176105,-8.120499186578062
676269.9236470727,-1463257.6021073214,-4.706191688404083
676024.1395760305,-1463302.529391819,-7.6836739512754875
675779.5539450693,-1463354.1895644001,-6.8963990465905205
675535.5354107001,-1463408.4686496744,-5.960711682535157
675290.8923979845,-1463459.5118133568,-5.419370101106255
675044.6357221103,-1463502.2278529915,-4.66487539985722
674797.5459684129,-1463540.1694947318,-5.5711549911441285
674550.9241705185,-1463580.8080511303,-3.7175972083748725
674305.2223626821,-1463626.8646865133,-3.5909710831646855
674059.4931517844,-1463672.7633999866,-3.2266963803765627
673812.959055525,-1463714.0279677778,-3.402294068990109
673565.7931192499,-1463751.4869353536,-3.894468522460393
673319.1775126343,-1463792.156415227,-4.018078073176516
673074.0352801357,-1463840.8955032611,-2.623820669699173
672829.6413973263,-1463893.4114688549,-6.171792015452805
672584.4380941088,-1463941.883039553,-4.097282990901064
672338.5094594354,-1463986.7763503965,-7.078807471640163
672092.2571728786,-1464029.805895376,-8.745880596303266
671845.4490923932,-1464069.5551338033,-8.408058177990972
671598.2693261311,-1464106.9352888332,-4.661609213074392
671350.9385799067,-1464143.2980654521,-5.945936164269298
671104.1817026921,-1464183.1752765067,-5.88986543827712
670858.6679334559,-1464230.0867936015,-9.094170850380314
670613.6750477958,-1464279.774272329,-7.131168528086604
670367.809113689,-1464324.7706591021,0.32982044030842417
670121.0173667726,-1464364.6069668455,-3.692385782892062
669874.4979774769,-1464406.005594728,-11.378954265134066
669628.8908033619,-1464452.552349277,-7.26572143378223
669383.6969463,-1464501.3174325067,-7.272125253876383
669138.2457302421,-1464548.7522010012,-3.6152141286953263
668892.121728746,-1464592.4808210654,-3.1750663739491998
668645.7346700663,-1464634.7329617357,-4.015296007130407
668399.7633179226,-1464679.3513054564,-5.890181027453205
668153.9807610129,-1464725.047884184,-2.9662967431224425
667907.9449967836,-1464769.3577016091,-2.4875628609950233
667661.4982842739,-1464811.3085753121,-0.16628827288215886
667414.419179704,-1464849.2458013233,20.169155528064074
667167.4465977593,-1464887.5954343558,0.8668243688601323
666921.1962445502,-1464930.4133325086,7.435340783548915
666674.830121842,-1464972.7751292514,-31.791384863268462
666428.1629164788,-1465013.4109690348,1.982725451635491
666182.0780297155,-1465057.2913371825,-1.0541690567668933
665936.5916443918,-1465104.5125674151,-0.21407053022673495
665690.8282381396,-1465150.2634613195,1.1763477187407192
665445.1903297405,-1465196.6511010572,-1.3527588253647789
665199.9016464894,-1465244.8424111702,-0.4535662035149328
664954.1143827124,-1465290.4073338676,0.07075461667471328
664707.663577879,-1465332.3222037128,-32.24253546897223
664461.1238403568,-1465373.7261641852,2.589991957997991
664214.8097369211,-1465416.4806498424,-0.009448836456415144
663968.3464095049,-1465458.3450047926,-0.16610724467229154
663721.3642707753,-1465496.956788448,-0.6691757590558431
663473.6463782152,-1465530.4193887538,-0.1352385387602677
663225.3563669997,-1465559.508217995,0.7369531441603199
662977.4545936687,-1465591.3158675837,0.37516876667699073
662731.4294851117,-1465634.6504794206,1.1652062136203005
662487.4514443245,-1465688.8877487204,2.9904446399187474
662243.5324269398,-1465743.5595787475,0.2592853873027572
661998.7771827581,-1465794.4397887168,-0.17689908049283254
661753.3216712561,-1465841.7667645966,-1.3234080387944633
661507.0096045706,-1465884.4343664034,0.18373375975198236
661260.2850000185,-1465924.6430465144,-0.1398895581009505
661014.4030064644,-1465969.389244595,1.7621635501711381
